name,id,frequent_build,winning_build
Annie, 1, 3020;3027;3089;3135;3157;3285;3340, 3020;3027;3089;3135;3157;3285;3340
Olaf, 2, 3047;3065;3068;3074;3143;3153;3340, 3065;3074;3075;3111;3143;3153;3361
Galio, 3, 3001;3065;3075;3111;3174;3285;3340, 3001;3065;3089;3111;3157;3174;3340
TwistedFate, 4, 3020;3089;3100;3135;3157;3285;3340, 3020;3089;3100;3135;3157;3285;3340
XinZhao, 5, 3044;3067;3068;3117;3153;3340;3707, 3065;3068;3071;3117;3153;3340;3707
Urgot, 6, 3035;3042;3047;3071;3110;3142;3340, 3035;3042;3047;3071;3110;3142;3340
Leblanc, 7, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
Vladimir, 8, 3020;3089;3135;3152;3157;3285;3340, 3020;3089;3135;3152;3157;3285;3340
FiddleSticks, 9, 1026;1052;3020;3089;3157;3340;3708, 1026;1052;3020;3089;3157;3340;3708
Kayle, 10, 1056;3020;3085;3089;3115;3157;3340, 1056;3020;3085;3089;3100;3115;3340
MasterYi, 11, 3006;3031;3035;3087;3153;3340;3707, 3006;3031;3035;3087;3153;3340;3707
Alistar, 12, 1011;2049;3082;3117;3341;3401;3800, 1011;2049;3082;3117;3341;3401;3800
Ryze, 13, 3020;3027;3040;3089;3135;3157;3340, 3020;3027;3040;3089;3135;3157;3340
Sion, 14, 3047;3065;3068;3075;3083;3110;3340, 3047;3065;3068;3075;3083;3110;3340
Sivir, 15, 1038;1053;1055;3006;3031;3087;3340, 3006;3031;3035;3046;3072;3087;3340
Soraka, 16, 2049;3069;3110;3158;3190;3341;3504, 2049;3069;3110;3158;3190;3341;3504
Teemo, 17, 3020;3085;3089;3115;3135;3151;3340, 3020;3089;3115;3135;3151;3165;3340
Tristana, 18, 3006;3026;3031;3035;3046;3072;3340, 3006;3026;3031;3035;3046;3072;3340
Warwick, 19, 1011;1028;1037;3117;3153;3340;3726, 3022;3065;3117;3143;3153;3340;3726
Nunu, 20, 1011;2049;3110;3117;3190;3364;3725, 3065;3110;3117;3151;3340;3717;3800
MissFortune, 21, 3006;3026;3031;3035;3072;3087;3340, 3006;3026;3031;3035;3072;3087;3340
Ashe, 22, 1038;1053;1055;3006;3031;3046;3340, 3006;3031;3035;3046;3072;3087;3340
Tryndamere, 23, 3006;3031;3035;3087;3142;3153;3340, 3006;3031;3035;3087;3142;3153;3340
Jax, 24, 1011;2041;3078;3082;3111;3153;3340, 1028;3078;3111;3143;3153;3211;3340
Morgana, 25, 1026;1056;1058;3020;3157;3165;3340, 3020;3089;3135;3157;3165;3285;3340
Zilean, 26, 2049;3096;3158;3165;3191;3222;3341, 2049;3067;3069;3114;3117;3364;3800
Singed, 27, 3027;3040;3075;3111;3116;3151;3340, 3027;3040;3075;3083;3102;3111;3340
Evelynn, 28, 1028;3025;3117;3143;3211;3340;3707, 3025;3117;3143;3153;3211;3340;3707
Twitch, 29, 3006;3031;3035;3087;3142;3153;3340, 3006;3031;3035;3087;3142;3153;3340
Karthus, 30, 3020;3027;3040;3089;3135;3157;3340, 3020;3027;3040;3089;3135;3157;3340
Chogath, 31, 1026;1056;1058;3027;3110;3111;3340, 1026;1056;1058;3027;3110;3111;3340
Amumu, 32, 1028;3047;3110;3211;3340;3725;3800, 1028;3047;3110;3211;3340;3725;3800
