name,id,frequent_build,winning_build
AP Annie, 1, (3020; 3027; 3089; 3135; 3157; 3285; 3340), (3020; 3027; 3089; 3135; 3157; 3285; 3340)
AP Olaf, 2, (1001; 1036; 1038; 2041; 3078; 3144; 3340), (1001; 1036; 1038; 2041; 3078; 3144; 3340)
AP Galio, 3, (1052; 1056; 1058; 3001; 3111; 3174; 3340), (1052; 1056; 1058; 3001; 3111; 3174; 3340)
AP TwistedFate, 4, (3020; 3089; 3100; 3135; 3157; 3285; 3340), (3020; 3089; 3100; 3135; 3157; 3285; 3340)
AP XinZhao, 5, (3100; 3115; 3117; 3157; 3285; 3340; 3710), (3089; 3113; 3115; 3157; 3158; 3364; 3710)
AP Urgot, 6, (1028; 1036; 1055; 3047; 3078; 3110; 3340), (1028; 1036; 1055; 3047; 3078; 3110; 3340)
AP Leblanc, 7, (3020; 3089; 3135; 3157; 3165; 3285; 3340), (3020; 3089; 3135; 3157; 3165; 3285; 3340)
AP Vladimir, 8, (1026; 1052; 1058; 3020; 3152; 3157; 3340), (1026; 1052; 1058; 3020; 3152; 3157; 3340)
AP FiddleSticks, 9, (1026; 1052; 1058; 3020; 3157; 3340; 3708), (1026; 1052; 3020; 3089; 3157; 3340; 3708)
AP Kayle, 10, (1026; 1052; 1056; 1058; 3020; 3115; 3340), (3006; 3085; 3089; 3115; 3135; 3340; 3726)
AP MasterYi, 11, (1037; 1038; 1055; 3078; 3093; 3117; 3340), ()
AP Alistar, 12, (3065; 3113; 3151; 3157; 3158; 3165; 3340), (3041; 3089; 3100; 3157; 3158; 3285; 3340)
AP Ryze, 13, (1026; 1052; 1058; 3020; 3027; 3040; 3340), (1026; 1052; 3020; 3027; 3040; 3157; 3340)
AP Sion, 14, (3020; 3026; 3027; 3068; 3151; 3157; 3340), (3010; 3025; 3083; 3116; 3158; 3340; 3801)
AP Soraka, 16, (1058; 2049; 3069; 3158; 3174; 3340; 3504), (1058; 2049; 3069; 3158; 3174; 3340; 3504)
AP Teemo, 17, (1026; 1052; 1058; 3020; 3115; 3151; 3340), (1026; 1056; 1058; 3020; 3115; 3151; 3340)
AP Tristana, 18, (3020; 3089; 3116; 3135; 3157; 3285; 3340), (3020; 3089; 3116; 3135; 3157; 3285; 3340)
AP Warwick, 19, (3026; 3075; 3089; 3158; 3285; 3340; 3726), (3026; 3075; 3089; 3158; 3285; 3340; 3726)
